; eventmsg.txt
PHRASE_famine_initial_announcement_C	"[greeting] [player_name], [reason_phrase] naon bras en deus pobl [city_name] ha mervel a reont gant an naon. Kasit [amount] karrigellad [item] dindan [time_allotted] miz. Buhezioù a zo en arvar !"
PHRASE_famine_reminder_P 				"[greeting] [player_name], en em c'houlenn a ra a faraon hag eñ ho peus ur galon. N'ho peus ket kaset ar [amount] karrigellad [item] da [city_name] p'emañ he c'heodedourien war o zalaroù. 6 miz a chom ganeoc'h nemetken evit bastañ ouzh reked ar faraon."
PHRASE_famine_reminder_C 				"[greeting] [player_name], o vervel gant an naon emañ pobl [city_name] ha n'ho peus ket kaset c'hoazh ar [amount] karrigellad [item]. Kasit ar marc'hadourezhioù dindan 6 miz mod-all e vioc'h kiriek deus marv kalzig tud."
PHRASE_famine_overdue_P 				"[greeting] [player_name], soñjal a ra ar faraon hoc'h kamm ho pizied. N'ho peus graet tamm tra ebet evit distanañ naon ho kenvroidi. Kasit [amount] karrigellad [item] da [city_name] ha marteze e vioc'h aotreet en dro da welout ar faraon."
PHRASE_famine_overdue_C 				"[greeting] [player_name], huchadennoù an dud marnaoniek a chom direspont. N'ho peus ket kaset ar [amount] karrigellad [item] da [city_name] dindan an amzer ret. Dre ma 'z eo gwelloc'h ur respont diwezhat eget hini ebet e c'hallit c'hoazh kas ar marc'hadorezhioù, gant ar spi e chomo unan bennak da saveteiñ."
PHRASE_famine_warning_P 				"[greeting] [player_name], ma ne gasit ket [amount] karrigellad [item] da [city_name] dindan 6 mize vo pounneroc'h ho koustiañs. Ar faraon e wello fall ho tiouer a druez ma ne gasit ket ar marc'hadourezhioù."
PHRASE_famine_warning_C 				"[greeting] [player_name], en em c'houlenn a ra [city_name] hag eñ eo ken yen ho kalon hag ar vein. Ne chom nemet 6 miz ganeoc'h evit kas [amount] karrigellad [item]. En ur nac'hañ e varnit he fobl d'ar marv."
PHRASE_famine_comply_reason_P_A  			"dre m'ho peus kaset ar [amount] karrigellad [item] evit saveteiñ [city_name], evel ma 'z eo bet goulennet gant ar faraon,"
PHRASE_famine_comply_reason_P_B	  		"kaset ho peus ar [amount] karrigellad [item] evit respont da ezhommoù tud [city_name],evel ma 'z eo bet goulennet gant ar faraon. Dibab fur hag avizet. Bremañ,"
PHRASE_famine_comply_reason_P_C	  "ha pa 'z hoc'h bet prim evit kas ar [amount] karrigellad [item] da [city_name], evel ma 'z eo bet goulennet gant ar faraon, koulskoude"
PHRASE_famine_comply_reason_C_A 	"dre ma 'z int bet kaset ar [amount] karrigellad [item] da [city_name] pa oant marnaoniek,"
PHRASE_famine_comply_reason_C_B	  "ar [amount] karrigellad [item] ho peus kaset o deus savetaet tud [city_name] e-pad an naonegezh. Koulskoude o deus merzhet ar virized"
PHRASE_famine_comply_reason_C_C	  "en desped m'eo bet ur salvidigezh ar [amount] karrigellad [item] bet kaset da [city_name] evit talañ ouzh an naonegezh, koulskoude"
PHRASE_famine_too_late_reason_P_A	"dre m'ho peus laosket sujidi ar faraon gouzañviñ re bell e [city_name] a-raok kas ar [amount] karrigellad [item],"
PHRASE_famine_too_late_reason_P_B	  "laosket ho peus sujidi ar faraon gouzañviñ re bell e [city_name] a-raok kas ar  [amount] karrigellad [item] gortozet. Neuze o deus lâret ar vizired"
PHRASE_famine_too_late_reason_P_C	  "ha p'ho peus laosket sujidi ar faraon gouzañviñ re bell e [city_name] a-raok kas ar [amount] karrigellad [item] gortozet eo bet merzhet ho striv memestra, ha neuze,"
PHRASE_famine_too_late_reason_C_A  	 	"dre m'ho peus kemeret re amzer evit kas [amount] karrigellad [item] evit distannañ kêr [city_name],"
PHRASE_famine_too_late_reason_C_B	  "gortozet ho peus re bell a-raok kas [amount] karrigellad [item] evit distannañ [city_name] ha bras eo bet poan an dud. En abeg da-se,"
PHRASE_famine_too_late_reason_C_C	  "ha p'ho peus gortozet re bell a-raok kas [amount] karrigellad [item] evit distannañ kêr [city_name], ho kasadenn he deus gwanaet disoc'h spontus an naonegezh, ha neuze,"
PHRASE_famine_refuse_reason_P_A  	 	"dre m'ho peus nac'het goulenn pobl [city_name] e-pad an naonegezh ha miret ar [amount] karrigellad [item],"
PHRASE_famine_refuse_reason_P_B	  "dre m'ho peus nac'het goulenn pobl [city_name] e-pad an naonegezh ha miret ar [amount] karrigellad [item]. Avizet fall e oa. Neuze eo bet lâret gant ar vizired"
PHRASE_famine_refuse_reason_P_C	  "nac'het ho peus skoazellañ pobl [city_name] e-pad an naonegezh ha miret ho peus ar [amount] karrigellad [item], met daoust da-se"
PHRASE_famine_refuse_reason_C_A			"dre m'ho peus nac'het skoazellañ pobl [city_name] e-pad an naonegezh ha miret ar [amount] karrigellad [item],"
PHRASE_famine_refuse_reason_C_B	  "nac'het ho peus skoazellañ pobl [city_name]  e-pad an naonegezh ha miret ar [amount] karrigellad [item]. Ar vizired o deus lâret ivez "
PHRASE_famine_refuse_reason_C_C	  "ha p'ho peus nac'het respont da c'houlenn pobl [city_name] e-pad an naonegezh ha miret evidoc'h ar [amount] karrigellad [item],"
PHRASE_famine_no_reason_P_A  	 	"Fall e seblant bezañ tonkad pobl ar faraon ha"
PHRASE_famine_no_reason_P_B	  "ar c'hudennoù a gresk diehan e-pad ma"
PHRASE_famine_no_reason_P_C	  ""
PHRASE_famine_no_reason_C_A  	"pobl kêr [city_name] a goll ar spip dre ma"
PHRASE_famine_no_reason_C_B	  "lear c'hudennoù a gresk diehan e-pad ma"
PHRASE_famine_no_reason_C_C	  ""

;*****Threat**********************************
PHRASE_threat_title_P 					"Drouktunañ a-berzh Faraon"
PHRASE_threat_title_C 					"Drouktunañ a-berzh ur gêr"
PHRASE_threat_initial_announcement_P	"[greeting] [player_name], [reason_phrase] ar faraon dibar en deus urzhiet deoc'h kas [amount] karrigellad [item] da [city_name] dindan [time_allotted] miz. Mod-all e teuio da zistrujañ ho kêr."
PHRASE_threat_initial_announcement_C	"[greeting] [player_name], [reason_phrase], kêr [city_name] a c'houlenn ouzhoc'h kas [amount] karrigellad [item] dindan [time_allotted] miz. Ma laoskit he goulenn a-gostez e kaso he soudarded betek ho kêr."
PHRASE_threat_reminder_P 				"[greeting] [player_name], ar faraon lorc'hus a vod e soudarded ha tagañ a raio a-benn nebeud. Kasit ar [amount] karrigellad [item] da [city_name] dindan 6 miz evit chom hep kaout kudennoù displijus."
PHRASE_threat_reminder_C 				"[greeting] [player_name], an armead kaset gant [city_name] a c'hoarzh deus ho kwanded. Ma kasit ar [amount] karrigellad [item] dindan 6 miz n'ho tago ket ken ar gêr-se. Koulskoude e vo dipitet he soudarded."
PHRASE_threat_overdue_P 				"[greeting] [player_name], tremenet eo an amzer ret hag ar faraon didruez ne c'hortozo ket pelloc'h. Gallout a rit distannañ anezhañ en ur gas ar [amount] karrigellad [item] da [city_name] ar buanañ ar gwellañ."
PHRASE_threat_overdue_C 				"[greeting] [player_name], klevout a reer an huchadennoù brezel e [city_name] peogwir e faot dezhe distrujañ ho kêr. Ma kasit ar [amount] karrigellad [item] da [city_name] ar buanañ ar gwellañ e c'hallfe-hi bezañ truezus."
PHRASE_threat_warning_P 				"[greeting] [player_name], ar faraon gwarizius en deus c'hoant da gemer gant an nerzh ar pezh a nac'hit dezhañ. Stummet mat eo armead anezhañ met gallout a rit tremen hebiou ul lazhadeg e-kreiz straedoù ho kêr en ur gas [amount] karrigellad [item] dindan 6 miz. Mod-all e tiruilho sterioù gwad dre ho kêr."
PHRASE_threat_warning_C 				"[greeting] [player_name], [city_name] a zo prest da zichadennoù e soudarded spontus. Ma kasit [amount] karrigellad [item] dindan 6 miz e c'hallfe an alouberien chom pell diouzhoc'h ha diouzh ho kêr."
PHRASE_threat_comply_reason_P_A 			"dre m'ho peus asantet urzhioù ar faraon ha kaset [amount] karrigellad [item] da [city_name],"
PHRASE_threat_comply_reason_P_B	  "pleget kein ho peus dirak urzhioù ar faraon ha kaset eo bet [amount] karrigellad [item] da [city_name]. Ar vizired o deus lâret"
PHRASE_threat_comply_reason_P_C	  "daoust m'ho peus respontet buan da urzhioù ar faraon e [city_name],"
PHRASE_threat_comply_reason_C_A  "dre m'ho peus pleget kein dirak urzhioù kêr [city_name] ha kaset ho peus [amount] karrigellad [item],"
PHRASE_threat_comply_reason_C_B	  "pleget kein ho peus dirak urzhioù kêr [city_name]ha kaset ho peus [amount] karrigellad [item]. Koulskoude e seblant"
PHRASE_threat_comply_reason_C_C	  "en desped m'ho peus pleget kein dirak urzhioù kêr [city_name] evit [amount] karrigellad [item], koulskoude"
PHRASE_threat_too_late_reason_P_A  	 "sioulder ar faraon a zo bet gwallgaset gant an dale kemeret evit kas ar [amount] karrigellad [item] da [city_name] hag en abged da-se,"
PHRASE_threat_too_late_reason_P_B	  "sioulder ar faraon a zo bet gwallgaset gant an dale kemeret evit kas ar [amount] karrigellad [item] da [city_name]. Gant gerioù-all :"
PHRASE_threat_too_late_reason_P_C	  "sioulder ar faraon a zo bet gwallgaset gant an dale kemeret evit kas ar [amount] karrigellad [item] da [city_name] koulskoude, merzhet eo bet ho striv. Neuze,"
PHRASE_threat_too_late_reason_C_A 		"daoust m'ho peus disteraet gourdrouz kêr [city_name] ha n'ho peus ket kaset buan ar [amount] karrigellad [item],"
PHRASE_threat_too_late_reason_C_B	  "disteraet ho peus gourdrouz kêr [city_name] peogwir n'ho peus ket kaset buan ar [amount] karrigellad [item]. Istor dremenet eo. Bremañ "
PHRASE_threat_too_late_reason_C_C	  "n'oc'h ket bet fur en ur nac'hañ ar [amount] karrigellad [item] goulennet gant [city_name]. Koulskoude, dre m'ho peus bastet ouzh ar reked-se,"
PHRASE_threat_refuse_reason_P_A		" dre m'ho peus nac'het respont da urzh ar faraonha chomet hep kas [amount] karrigellad [item] da [city_name],"
PHRASE_threat_refuse_reason_P_B	  "nac'het ho peus respont da urzh ar faraon ha n'ho peus ket kaset [amount] karrigellad [item] da [city_name]. Koulskoude,"
PHRASE_threat_refuse_reason_P_C	  "en desped da c'hourdrouz ar faraon ho peus nac'het kas [amount] karrigellad [item] da [city_name],"
PHRASE_threat_refuse_reason_C_A		"dre m'ho peus c'hoariet gant an tan en ur nac'han da gas [amount] karrigellad [item] da [city_name],"
PHRASE_threat_refuse_reason_C_B	  "c'hoariet ho peus gant an tan en ur nac'hañ da gas [amount] karrigellad [item] da [city_name]. Rankout a rit gouzout"
PHRASE_threat_refuse_reason_C_C	  "en desped m'ho peus c'hoariet gant an tan en ur nac'hañ da gas [amount] karrigellad [item] da [city_name],"
PHRASE_threat_no_reason_P_A  	 	"dre m'emañ-eñ en un taol imor spontus,"
PHRASE_threat_no_reason_P_B	  "imor fall ar faraon n'en deus tamm harz ebet,"
PHRASE_threat_no_reason_P_C	  ""
PHRASE_threat_no_reason_C_A  	 	 				"dre m'emañ sto kêr [city_name] gant ar gloar,"
PHRASE_threat_no_reason_C_B	  "war a seblant ne c'hall ket kêr [city_name] bezañ distannet da vat,"
PHRASE_threat_no_reason_C_C	  ""

;CITY STATUS CHANGING EVENTS
;*****Egyptian City Falls**********************************DONE TO HERE
PHRASE_eg_city_falls_title 						"Kêr Egiptian aloubet"
PHRASE_eg_city_falls_initial_announcement		"[greeting] [player_name], [reason_phrase] ar gêr vras-se ([city_name]) a zo bet aloubet gant hon enebourien."
PHRASE_eg_city_falls_reason_A  	 					"dre m'eo bet aloubet [city_name] gant an enebourien,"
PHRASE_eg_city_falls_reason_B	  "[city_name] a zo kouezhet etre daouarn an alouberien. Koulskoude,"
PHRASE_eg_city_falls_reason_C	  "daoust m'eo kouezhet [city_name] etre daouarn an alouberien,"
PHRASE_eg_city_falls_no_reason_A  		"kouezhet eo ar mallozh war [city_name] :"
PHRASE_eg_city_falls_no_reason_B	  "war a seblant n'int ket diskoulmet ar c'hudennoù e [city_name] dre ma"
PHRASE_eg_city_falls_no_reason_C	  ""

;*****Foreign City Conquered**********************************
PHRASE_foreign_city_conquered_title 					"Kêr estren aloubet"
PHRASE_foreign_city_conquered_initial_announcement		"[greeting] [player_name], [reason_phrase] An Egipt he deus aloubet [city_name], pelloc'h pellañ e skignomp hol levezon !"
PHRASE_foreign_city_conquered_reason_A 				"dre m'hon eus aloubet [city_name], kêr estren,"
PHRASE_foreign_city_conquered_reason_B	  "[city_name], ur gêr estren, a zo bet aloubet gant hor soudarded ! Bremañ,"
PHRASE_foreign_city_conquered_reason_C	  "daoust m'eo bet aloubet [city_name], ur gêr estren, gant hor soudarded,"
PHRASE_foreign_city_conquered_no_reason_A  	"a-drugarez da greñvded hon armoù,"
PHRASE_foreign_city_conquered_no_reason_B	  "kenderc'hel a ra levezon hor rouantelezh da greskiñ. Bremañ"
PHRASE_foreign_city_conquered_no_reason_C	  ""

;*****Trade Route becomes available**********************************
PHRASE_route_opened_title 						"Hent kenwerzh nevez"
PHRASE_route_opened_initial_announcement		"[greeting] [player_name], [reason_phrase] eo bet digoret un hent kenwerzh nevez betek [city_name]."
PHRASE_route_opened_reason_A  	 				"dre m'eo bet digoret un hent kenwerzh nevez gant [city_name],"
PHRASE_route_opened_reason_B	  				"eo bet digoret un hent kenwerzh nevez gant [city_name], ha"
PHRASE_route_opened_reason_C	  				"dre ma c'haller kenwerzhañ bremañ gant [city_name],"
PHRASE_route_opened_no_reason_A  	 			"abalamour d'an diplomaterezh"
PHRASE_route_opened_no_reason_B	  "cheñchamant a zo en aer abalamour ma"
PHRASE_route_opened_no_reason_C	  ""

;*****Trade Route Shuts Down**********************************
PHRASE_route_closed_title 					"Hent kenwerzh serret"
PHRASE_route_closed_initial_announcement    "[greeting] [player_name], [reason_phrase] eo echu gant an hent kenwerzh betek [city_name]."
PHRASE_route_closed_reason_A  	 					"dre m'emañ serret ho hent kenwerzh betek [city_name] ,"
PHRASE_route_closed_reason_B	  "serret eo an hent kenwerzh betek [city_name], hag ouzhpenn-se,"
PHRASE_route_closed_reason_C	  "daoust m'emañ serret an hent kenwerzh betek [city_name] ,"
PHRASE_route_closed_no_reason_A  	 				"abalamour ma n'eo ket stabil ar bolitikerezh,"
PHRASE_route_closed_no_reason_B	  "n'eo ket souezhus. Seblantout a ra"
PHRASE_route_closed_no_reason_C	  ""

;*****Trade City under Siege**********************************
PHRASE_siege_title 							"Kêr kenwerzhel dindan seziz"
PHRASE_siege_initial_announcement			"[greeting] [player_name], [reason_phrase] stanket eo [city_name] gant an alouberien."
PHRASE_siege_reason_A  						"dre m'emañ kêr [city_name] dindan seziz,"
PHRASE_siege_reason_B	  "kêr [city_name] a zo dindan seziz, ha"
PHRASE_siege_reason_C	  "ha p'emañ ker [city_name] dindan seziz,"
PHRASE_siege_no_reason_A  		"an anaouderien o deus degaset keloù spontus. War a seblant emañ"
PHRASE_siege_no_reason_B	  "war a seblant n'eus diskoulm ebet d'o c'hudennoù, dre ma"
PHRASE_siege_no_reason_C	  ""

;MESSAGE + TRIGGER EVENTS 
;*****Egyptian City Saved**********************************
PHRASE_eg_city_saved_title 					"Kêr Egiptian savetaet"
PHRASE_eg_city_saved_initial_announcement	"[greeting] [player_name], [reason_phrase] [city_name] a zo bet sikouret."
PHRASE_eg_city_saved_reason_A  	 				"dre m'eo bet saveteet [city_name] diouzh arvar an aloubiñ,"
PHRASE_eg_city_saved_reason_B	  "[city_name] a zo bet savetaet ! Bremañ,"
PHRASE_eg_city_saved_reason_C	  "daoust ma 'z eo bet savetaet [city_name],"
PHRASE_eg_city_saved_no_reason_A  			"a-drugarez d'ur striv bras digant perzh armead an Egipt,"
PHRASE_eg_city_saved_no_reason_B	  "an emgannoù didruez a c'hoarvez diehan hag evit ar poent"
PHRASE_eg_city_saved_no_reason_C	  ""

;*****Distant Battle Won**********************************
PHRASE_battle_won_title 					"Trec'h"
PHRASE_battle_won_initial_announcement		"[greeting] [player_name], [reason_phrase] armead an Egipt a zo trec'h !"
PHRASE_battle_won_reason_A  	 		"dre ma 'z int bet trec'h hon nerzhioù e-pad emgann [city_name],"
PHRASE_battle_won_reason_B	  "trec'h int bet hon nerzhioù e-pad emgann [city_name]. Bremañ"
PHRASE_battle_won_reason_C	  "en desped ma z'int bet trec'h hon nerzhioù e-pad emgann [city_name]"
PHRASE_battle_won_no_reason_A  		"abalamour da startijenn ha nerzh ar soudarded stummet e [city_name], ur gêr pell,"
PHRASE_battle_won_no_reason_B	  "bout 'zo c'hoazh deus ar burzhudoù war a seblant, kar e [city_name]"
PHRASE_battle_won_no_reason_C	  ""

;*****Distant Battle Lost**********************************
PHRASE_battle_lost_title 					"Armead Egiptian trec'het"
PHRASE_battle_lost_initial_announcement		"[greeting] [player_name], [reason_phrase] trec'het eo bet armead an Egipt e [city_name]."
PHRASE_battle_lost_reason_A  	 					"dre m'eo bet trec'het an Egipt gant hec'h enebourien e [city_name],"
PHRASE_battle_lost_reason_B	  "an Egipt he deus kollet un emgann e [city_name]. Ouzhpenn da-se,"
PHRASE_battle_lost_reason_C	  "daoust m'he deus kollet an Egipt un emgann e [city_name],"
PHRASE_battle_lost_no_reason_A  	"kouezhet eo ur mallozh bras war ar soudarded,"
PHRASE_battle_lost_no_reason_B	  "ne c'haller ket raktresiñ ar brezel. Siwazh"
PHRASE_battle_lost_no_reason_C	  ""

;*****Acknowledgement**********************************
PHRASE_acknowledgement_title 					"Sujidigezh"
PHRASE_acknowledgement_initial_announcement		"[greeting] [player_name], [reason_phrase] en surentez emañ ho kêr... evit ar mare."
PHRASE_acknowledgement_reason_A  	 			"dre m'ho peus pleget kein buan dirak ar c'hourdrouz,"
PHRASE_acknowledgement_reason_B	  				"pleget ho peus ho kein buan a-walc'h dirak ar c'hourdrouz,"
PHRASE_acknowledgement_reason_C	  				"en desped m'ho pefe pleget ho kein buan a-walc'h dirak ar c'hourdrouz,"
PHRASE_acknowledgement_no_reason_A				"da-heul ur cheñchamant imor,"
PHRASE_acknowledgement_no_reason_B	  			"n'eus netra sur da vat, met"
PHRASE_acknowledgement_no_reason_C	  			""

;INVASIONS 
;*****Pharaoh Attacks******************************************
PHRASE_pharaoh_attacks_you_title 					"Ar Faraon war hent ho kêr"
PHRASE_pharaoh_attacks_you_initial_announcement		"[greeting] [player_name], [reason_phrase] tostaat a ra armead ar faraon hag errout a raio en ho kêr a-benn [time_until_attack] miz."
PHRASE_pharaoh_attacks_you_2year_reminder			"[greeting] [player_name], [reason_phrase] tostaat a ra armead ar faraon hag errout a raio en ho kêr a-benn daou vloaz."
PHRASE_pharaoh_attacks_you_1year_reminder			"[greeting] [player_name], [reason_phrase] prest eo armead ar faraon evit en emgannañ hag erruout a raio en ho kêr a-benn ur vloaz."
PHRASE_pharaoh_attacks_you_6month_warning			"[greeting] [player_name], [reason_phrase] dihabask int soudarded ar faraon hag erruout a raint a-benn 6 miz."
PHRASE_pharaoh_attacks_you_1month_warning			"[greeting] [player_name], [reason_phrase] tost emañ armead ar faraon hag erruout a raint a-benn 1 miz !"
PHRASE_pharaoh_attacks_you_city_attacked_alert  	"[greeting] [player_name], erruet eo armead ar faraon !"
PHRASE_pharaoh_attacks_you_reason_A  	 	 		"dre m'emañ taget ho kêr gant armead ar faraon,"
PHRASE_pharaoh_attacks_you_reason_B	  				"taget eo bet ho kêr gant armead ar faraon. Ouzhpenn da-se"
PHRASE_pharaoh_attacks_you_reason_C	  				"daoust m'eo bet taget ho kêr gant armead ar faraon,"
PHRASE_pharaoh_attacks_you_no_reason_A  	 		"a-wechoù e ra ar faraon hervez abegoù anavezet gantañ nemetken."
PHRASE_pharaoh_attacks_you_no_reason_B	  			"ne c'haller ket raktresañ ar pezh a raio ar faraon. Bremañ,"
PHRASE_pharaoh_attacks_you_no_reason_C	  			"dre m'emañ ken izel ho prud er rouantelezh,"
PHRASE_pharaoh_attacks_you_because_of_low_favor		"nul eo ho prud er rouantelezh. Un nebeud profoù da bobl an Egipt a c'hallfe cheñch penn d'ar vazh, met bremañ"

;*****Egyptian Army Attacks*************************************
PHRASE_eg_city_attacks_you_title 					"Un armead Egiptian war hent ho kêr"
PHRASE_eg_city_attacks_you_initial_announcement		"[greeting] [player_name], [reason_phrase] un armead a vro Egipt emañ o prientiñ e arsailh ha tizhout a raio ho kêr dindan [time_until_attack] miz."
PHRASE_eg_city_attacks_you_2year_reminder			"[greeting] [player_name], [reason_phrase] un armead a vro Egipt emañ o tostaat diouz ho kêr hag erruout a raio dindan 2 vloaz."
PHRASE_eg_city_attacks_you_1year_reminder			"[greeting] [player_name], [reason_phrase] dindan ur bloaz e vo arsailhet ho kêr gant un armead a vro Egipt."
PHRASE_eg_city_attacks_you_6month_warning			"[greeting] [player_name], [reason_phrase] un armead a vro Egipt emañ o tostaat diouzh ho kêr hag erruout a raio dindan 6 miz."
PHRASE_eg_city_attacks_you_1month_warning			"[greeting] [player_name], [reason_phrase] un armead a vro Egipt emañ o tostaat diouzh ho kêr hag erruout a raio dindan 1 miz."
PHRASE_eg_city_attacks_you_city_attacked_alert  	"[greeting] [player_name], un nerzh aloubiñ ennañ soudarded Egiptian emañ dirak ho kêr !"
PHRASE_eg_city_attacks_you_reason_A  	 	 		"dre m'eo bet taget ho kêr gant un armead a vro Egipt,"
PHRASE_eg_city_attacks_you_reason_B	  				"taget eo bet ho kêr gant un armead a vro Egipt ! Koulskoude"
PHRASE_eg_city_attacks_you_reason_C	  				"daoust m'eo bet taget ho kêr gant un armead a vro Egipt,"
PHRASE_eg_city_attacks_you_no_reason_A  	 		"diwallit :"
PHRASE_eg_city_attacks_you_no_reason_B	  			"poent eo mont d'an emgann rak"
PHRASE_eg_city_attacks_you_no_reason_C	  			"dre m'eo fall-tre ho prud er rouantelezh,"
PHRASE_eg_city_attacks_you_because_of_low_favor		"didalvoud eo ho levezon er rouantelezh. Un nebeud profoù evit pobl an Egipt a c'hallfe treiñ penn d'ar vazh, daoust ma"

;*****Foreign Army Attacks*************************************
PHRASE_foreign_army_attacks_you_title 					"Un armead enebour war hent ho kêr"
PHRASE_foreign_army_attacks_you_initial_announcement	"[greeting] [player_name], [reason_phrase] [a_foreign_army] emañ o tostaat hag erruout a raio dindan [time_until_attack] miz."
PHRASE_foreign_army_attacks_you_2year_reminder 			"[greeting] [player_name], [reason_phrase] dindan 2 vloaz e erruo [a_foreign_army] ."
PHRASE_foreign_army_attacks_you_1year_reminder 			"[greeting] [player_name], [reason_phrase] [a_foreign_army] a glask aloubiñ ho kêr hag erruout a raio dindan ur bloaz."
PHRASE_foreign_army_attacks_you_6month_warning 			"[greeting] [player_name], [reason_phrase] [a_foreign_army] a arruo dirak ho kêr dindan 6 miz. Bezit prest."
PHRASE_foreign_army_attacks_you_1month_Warning 			"[greeting] [player_name], [reason_phrase] [a_foreign_army] aloubus a erruo dirak ho kêr dindan 1 miz."
PHRASE_foreign_army_attacks_you_city_attacked_alert  	"[greeting] [player_name], [a_foreign_army] a zo erruet dirak ho kêr ha mennet eo evit distrujañ pep tra !"
PHRASE_foreign_army_attacks_you_reason_A  	 	 		"dre m'eo bet taget ho kêr gant [a_foreign_army],"
PHRASE_foreign_army_attacks_you_reason_B	  			"taget eo bet ho kêr gant [a_foreign_army], ha bremañ"
PHRASE_foreign_army_attacks_you_reason_C	  			"en desped m'eo bet taget ho kêr gant [a_foreign_army],"
PHRASE_foreign_army_attacks_you_no_reason_A  	 		"abalamour ma huñvreont en un impalaerezh,"
PHRASE_foreign_army_attacks_you_no_reason_B	  "war a seblant ez eus c'hoazh kudennoù peogwir"
PHRASE_foreign_army_attacks_you_no_reason_C	  ""

;OTHER EVENTS 
;*******Favor (Kingdom Rating) changes***************************** 
PHRASE_rating_change_title_I 					"Kresk live ar rouantelezh"
PHRASE_rating_change_initial_announcement_I 	"[greeting] [player_name], [reason_phrase] oc'h deuet da vout brudet mat e-touez poblañs an Egipt ha kresket en deus live ho rouantelezh."
PHRASE_rating_change_reason_I_A  	 	 		"dre m'en deus kresket live ho rouantelezh n'eus ket pell,"
PHRASE_rating_change_reason_I_B	  "kresket en deus live ho rouantelezh. Bremañ"
PHRASE_rating_change_reason_I_C	  "kresket en deus ho prud, met"
PHRASE_rating_change_no_reason_I_A		"dre ma 'z eo mat evidoc'h leuskel an amzer o tremen,"
PHRASE_rating_change_no_reason_I_B	  "keloù mat eo, peogwir"
PHRASE_rating_change_no_reason_I_C	  "plijet eo bet pobl an Egipt gant aberzhoù ho kêr e-pad an emgann. Neuze,"
PHRASE_rating_change_title_D 					"Digresk live ar rouantelezh"
PHRASE_rating_change_initial_announcement_D 	"[greeting] [player_name], [reason_phrase] fallgontant eo pobl an Egipt ha live ho rouantelezh en deus kouezhet a-galz."
PHRASE_rating_change_reason_D_A  	 	 		"dre m'eo kouezhet izel live ho rouantelezh,"
PHRASE_rating_change_reason_D_B	  				"kouezhet en deus live ho prud er rouantelezh, ha bremañ"
PHRASE_rating_change_reason_D_C	  				"en desped ma zigresk ho prud diehan er rouantelezh,"
PHRASE_rating_change_no_reason_D_A  			"abalamour da zrouklevenez hollek ar rouantelezh,"
PHRASE_rating_change_no_reason_D_B	  "keloù fall eo, peogwir"
PHRASE_rating_change_no_reason_D_C	  "n'int ket a-du ho keodedourien gant kement a feulster. Neuze"

;******Price Changes**************************************
PHRASE_price_change_title_I 					"Kresk ar prizioù"
PHRASE_price_change_initial_announcement_I		"[greeting] [player_name], [reason_phrase] kresket o deus an ezhommoù [item], hag ar prizioù war ar memes tro. Keroc'h eo deuet da vout an enporzhiañ met gounidusoc'h eo an esporzhiañ ivez."
PHRASE_price_change_reason_I_A  	 	 		"dre m'o deus kresket ar prizioù hag an ezhommoù [item] ,"
PHRASE_price_change_reason_I_B	  "kresket o deus ar prizioù hag an ezhommoù [item] , hag ouzhpenn-se "
PHRASE_price_change_reason_I_C	  "en desped d'ar prizioù da greskiñ,"
PHRASE_price_change_no_reason_I_A   	"abalamour d'ur c'hinnir re izel er bed a-bezh,"
PHRASE_price_change_no_reason_I_B	  "dre ma kendalc'h ar marc'had da vont war ziorren"
PHRASE_price_change_no_reason_I_C	  ""
PHRASE_price_change_title_D 					"Digresk ar prizioù"
PHRASE_price_change_initial_announcement_D		"[greeting] [player_name], [reason_phrase] digresket o deus an ezhommoù [item]. ne vo ket ken gounidusoc'h an esporzhiañ eget a-raok."
PHRASE_price_change_reason_D_A  	 	 	"ar prizioù o deus kouezhet gant digresk an ezhommoù [item] , "
PHRASE_price_change_reason_D_B	  "digresket o deus ar prizioù, hag ouzhpenn-se"
PHRASE_price_change_reason_D_C	  "ha p'o deus digresket ar prizioù,"
PHRASE_price_change_no_reason_D_A  		"abalamour m'eo kalz re vras ar c'hinnig er rouantelezh,"
PHRASE_price_change_no_reason_D_B	  "dre ma kendalc'h ar marc'had da vont war ziorren"
PHRASE_price_change_no_reason_D_C	  ""

;*****Demand Changes**************************
PHRASE_demand_change_title_I 					"Kresk ar c'henwerzh"
PHRASE_demand_change_initial_announcement_I 	"[greeting] [player_name], [reason_phrase] [city_name] a fell dezhi brasaat an eskemmoù [item]."
PHRASE_demand_change_reason_I_A  	 			"dre ma fell da gêr [city_name] brasaat an eskemmoù [item],"
PHRASE_demand_change_reason_I_B	  "[city_name] a fell dezhi brasaat an eskemmoù [item]. Ouzhpenn-se,"
PHRASE_demand_change_reason_I_C	  "ha pa fell da [city_name] diorren an eskemmoù [item],"
PHRASE_demand_change_no_reason_I_A  	"dre m'az a kêr [city_name] war ziorren,"
PHRASE_demand_change_no_reason_I_B	  "an amzer a ra e dro, ha"
PHRASE_demand_change_no_reason_I_C	  ""
PHRASE_demand_change_title_D 					"Digresk ar c'henwerzh"
PHRASE_demand_change_initial_announcement_D 	"[greeting] [player_name], [reason_phrase] [city_name] a fell dezhi bihanaat an eskemmoù [item] ganeoc'h."
